motif_id	subtype	correlation	pvalue
ZNF879_M07766_2.00	PU24GB8_lumB	-0.17644282748524537	3.8657533959545293e-07
ZNF649_M07738_2.00	98JKPD8_lumA	-0.6183477714984285	1.0349835566293604e-06
ZNF235_M07605_2.00	ANAB5F7_basal	-0.14146266746715894	1.5096438447608562e-06
CTCF_M07915_2.00	ANAB5F7_basal	-0.3229955413936989	1.1607216759560998e-05
ZNF879_M07766_2.00	ANAB5F7_basal	-0.14808654257230047	2.1399925283639547e-05
ZNF101_M07663_2.00	ANAB5F7_basal	-0.3167482116201609	3.0401137484602972e-05
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	S6R691V_her2	-0.2349196997476685	3.413170419464934e-05
NFIA_NFIA_HUMAN.H11MO.0.C	98JKPD8_lumA	-0.31895468805800176	4.173146109986926e-05
ZNF879_M07766_2.00	S6R691V_her2	-0.14193244660323862	4.675116365264877e-05
ZNF235_M07605_2.00	PU24GB8_lumB	-0.1171003310597921	7.03078065582296e-05
ZNF620_M07648_2.00	98JKPD8_lumA	-0.26906767159164435	7.249459063381004e-05
CTCF_M07891_2.00	ANAB5F7_basal	-0.27016818335858955	7.927481857395093e-05
ZBTB12_M08389_2.00	2GAMBDQ_norm	0.5811827797352319	8.409322158831005e-05
ZNF879_M07766_2.00	98JKPD8_lumA	-0.13586813312814522	9.792360896008877e-05
NFIA_NFIA_HUMAN.H11MO.0.C	PU24GB8_lumB	-0.303649538389468	9.985617274630554e-05
PRDM6_M08277_2.00	ANAB5F7_basal	-0.13940144134440843	0.0001073623932410372
CTCF_M08087_2.00	ANAB5F7_basal	-0.2697674389090876	0.0001314522924374468
ZNF620_M07648_2.00	S6R691V_her2	-0.2576912232639849	0.0001481586654616384
LHX2_MA0700.2	98JKPD8_lumA	0.6371206097105915	0.00015306458501364686
E2F7_E2F7_HUMAN.H11MO.0.B	ANAB5F7_basal	-0.2347694315431667	0.00018523859695337175
ONECUT1_MA0679.2	2GAMBDQ_norm	-0.37769419192329384	0.00018971806707732572
ZNF317_MA1593.1	ANAB5F7_basal	-0.35878891440669963	0.00021305004386679556
ZNF287_M07590_2.00	ANAB5F7_basal	-0.10715086107973126	0.00023356777899066094
FOXH1_MA0479.1	ANAB5F7_basal	-0.5118583140443587	0.00027691132927705703
CTCF_MA0139.1	ANAB5F7_basal	-0.25528973333684774	0.0002939913267215862
CTCF_M07899_2.00	ANAB5F7_basal	-0.25580703314244296	0.00029598448845144574
ZNF879_M07766_2.00	2GAMBDQ_norm	-0.1251950696455791	0.00033434981322782607
CTCF_M07907_2.00	ANAB5F7_basal	-0.25840137885871167	0.0003977367178951516
ZNF225_M07776_2.00	S6R691V_her2	-0.11877583476307296	0.0004367055288271412
FOXH1_M08119_2.00	ANAB5F7_basal	-0.4916920775745629	0.00044821689547731717
ZNF287_M07590_2.00	PU24GB8_lumB	-0.10215562824889288	0.00045289950104833996
MYNN_M08283_2.00	98JKPD8_lumA	-0.3600680174428838	0.0004905798739066068
HNF4G_M08155_2.00	PU24GB8_lumB	-0.3094579097812961	0.000495992362002604
NFIB_MA1643.1	PU24GB8_lumB	-0.22499608186923836	0.000539332025951713
CTCF_M07885_2.00	ANAB5F7_basal	-0.2594999174698223	0.0005446178914284918
ZNF235_M07605_2.00	S6R691V_her2	-0.10148812408664992	0.0005768302697232564
ZFP28_M08378_2.00	PU24GB8_lumB	-0.11005412211881128	0.0006153712577088865
ZNF189_MA1725.1	S6R691V_her2	-0.29968873231738	0.0006194477580466966
KLF10_M08317_2.00	ANAB5F7_basal	-0.17545396471643362	0.000621694078816712
ZNF487_M07782_2.00	PU24GB8_lumB	-0.11015125928301728	0.0006288088700493857
LHX2_MA0700.2	2GAMBDQ_norm	0.5840950457129817	0.0007018001248865895
ZSCAN29_M08271_2.00	PU24GB8_lumB	-0.543516965068103	0.0007399971299452182
CTCF_M07898_2.00	ANAB5F7_basal	-0.2664958420530487	0.0008028326914675423
ZN250_ZN250_HUMAN.H11MO.0.C	ANAB5F7_basal	-0.3274851149002001	0.0008813658078805141
SP1_SP1_HUMAN.H11MO.0.A	ANAB5F7_basal	-0.1185201019336059	0.000884204682394147
MYNN_M08283_2.00	ANAB5F7_basal	-0.34442039384643874	0.0008870188570116932
NR4A2_NR4A2_HUMAN.H11MO.0.C	ANAB5F7_basal	-0.4665733591732487	0.0009471276080162186
ZN320_ZN320_HUMAN.H11MO.0.C	98JKPD8_lumA	-0.17253734418474592	0.0009643448468901105
ZNF449_MA1656.1	PU24GB8_lumB	-0.2700964351084635	0.0009771164360632544
ZNF33B_M07710_2.00	2GAMBDQ_norm	0.2589729968612931	0.000980101529127907
CTCFL_MA1102.2	ANAB5F7_basal	-0.2666040427907764	0.001055245171627756
CTCF_M07921_2.00	ANAB5F7_basal	-0.26509403580610513	0.001085819055921367
CTCF_CTCF_HUMAN.H11MO.0.A	ANAB5F7_basal	-0.21674359939724056	0.0011248150733381846
ZN335_ZN335_HUMAN.H11MO.0.A	S6R691V_her2	0.18478025097219056	0.0011441215170297555
ZNF620_M07648_2.00	2GAMBDQ_norm	-0.2216845351697562	0.0011572368155834015
HNF4A_M08219_2.00	PU24GB8_lumB	-0.2986757969290675	0.001185726475752929
HNF4G_M08155_2.00	98JKPD8_lumA	-0.2880242526879887	0.0012358662618517993
ZFP14_MA1972.1	S6R691V_her2	-0.21670852479655417	0.0012836328313824126
ZNF134_M08392_2.00	PU24GB8_lumB	-0.32006647241417824	0.0013144727971941277
GATA6_MA1104.2	S6R691V_her2	-0.4221553122947062	0.0013255576866751425
ZNF449_M08344_2.00	98JKPD8_lumA	-0.1773319181550392	0.0013738547451471821
CTCF_M07916_2.00	ANAB5F7_basal	-0.24271333107553061	0.0013810828583857885
CTCF_M07911_2.00	ANAB5F7_basal	-0.2169599585395713	0.0014434074508907762
CTCF_M07915_2.00	PU24GB8_lumB	-0.23692602526659143	0.0014978798789924293
CTCF_M07881_2.00	ANAB5F7_basal	-0.2573387614921238	0.0015333329652254038
ZNF708_M07665_2.00	S6R691V_her2	0.31756887208811846	0.0016171086123140416
PAX5_PAX5_HUMAN.H11MO.0.A	ANAB5F7_basal	-0.16212276843176332	0.0016813720244884865
ZNF418_MA1980.1	PU24GB8_lumB	-0.2823947570153493	0.0016997148423285027
